document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1861.0,fd622c7c4c55f50b84c86c340be5d5f8__43ffbb1bb2fdaa4a6de14b5bf2d7b7189fd511c1bb9c3781ca6dae2722031674,DEFORESTATION,DEFORESTATION,deforestation,378,391,"In spite of being the region with the highest rate of deforestation, it has enormous potential for renewable energies.",1.0,explorer,
UNFCCC.non-party.1861.0,fe422e2be9c4766e6c149a25aa612262__d165e95a5f8d8aced9fba4e953888311d92ac286676e6950d40439626b59bd61,DEFORESTATION,DEFORESTATION,deforestation,438,451,"According to the IPCC AR6 WGII, ""Central and South America are highly exposed, vulnerable and strongly impacted by climate change, a situation amplified by inequality, poverty, population growth and high population density, land use change particularly deforestation with the consequent biodiversity loss, soil degradation, and high dependence of national and local economies on natural resources for the production of commodities"".",1.0,explorer,
UNFCCC.non-party.1861.0,9d8019a8182dbd4d6535b9d53bf066a8__558b96ee153f67648fe9ec30d8b2111e38cf2604c04bd467d69e10f7eeb8898a,FORESTS,FORESTS,forest,955,961,"Despite the ongoing gross economic inequality, political marginalisation and violence, Indigenous Peoples and Local Communities in the region remain stalwart stewards of ecosystems, protecting little under 300 million hectares of forest area - followed by Asia outside China with 53 million hectares, and Sub Saharan Africa with 32 million hectares8.",1.0,explorer,
UNFCCC.non-party.1861.0,a2ed07e3d5c5f9d26d66ee9ef5f3b4be__8d6f58249a1fa917af8ad814950560583a60fdfee1f190dd3ff9028a4d05f20a,DEFORESTATION,DEFORESTATION,deforestation,139,152,"Avoiding and reversing the loss and degradation of carbon- and species-rich ecosystems on land and in the ocean, including by reducing deforestation and reversing the destruction and degradation of natural ecosystems such as wetlands and coral reefs, was highlighted in the 2021 IPBES-IPCC Co-Sponsored Workshop Report on Biodiversity and Climate Change as being of highest importance for combined biodiversity protection and climate change mitigation actions with large adaptation co- benefits16.",1.0,explorer,
UNFCCC.party.1850.0,02d5af9f316a091d0f534cb9c42b1a7d__d8a1da3785eef01280b7b0b2eb4b91aed2c24d32b36482e57243f245caa33c8b,FORESTS,FORESTS,forest,721,727,"Attention should also be paid to measures that provide synergies between adaptation and mitigation of human impacts on climate, including measures to improve the stability and efficiency of energy systems, ecosystem adaptation, forest and water protection, and cropland management.",1.0,explorer,
UNFCCC.non-party.1869.0,bda68c921b7a1ad1afed8b044a55bea3__4a80214e2ea835d5b043a4badb10330d34708df633a8da3dcbaeeb16f2205eb3,REFORESTATION,REFORESTATION,reforestation,508,521,"Key priorities include: (i) prioritizing deep emission cuts to near zero CO2 emissions by 2050, implying deep transformations towards a clean energy system, (ii) in the land sector, prioritizing this decade halting deforestation of intact forests, and natural reforestation and ecosystem regeneration, (iii) not over-depending on land-based Carbon Dioxide Removal to reach net-zero goals",1.0,explorer,
UNFCCC.non-party.1869.0,bda68c921b7a1ad1afed8b044a55bea3__4a80214e2ea835d5b043a4badb10330d34708df633a8da3dcbaeeb16f2205eb3,DEFORESTATION,DEFORESTATION,deforestation,463,476,"Key priorities include: (i) prioritizing deep emission cuts to near zero CO2 emissions by 2050, implying deep transformations towards a clean energy system, (ii) in the land sector, prioritizing this decade halting deforestation of intact forests, and natural reforestation and ecosystem regeneration, (iii) not over-depending on land-based Carbon Dioxide Removal to reach net-zero goals",1.0,explorer,
UNFCCC.non-party.1869.0,bda68c921b7a1ad1afed8b044a55bea3__4a80214e2ea835d5b043a4badb10330d34708df633a8da3dcbaeeb16f2205eb3,FORESTS,FORESTS,forests,487,494,"Key priorities include: (i) prioritizing deep emission cuts to near zero CO2 emissions by 2050, implying deep transformations towards a clean energy system, (ii) in the land sector, prioritizing this decade halting deforestation of intact forests, and natural reforestation and ecosystem regeneration, (iii) not over-depending on land-based Carbon Dioxide Removal to reach net-zero goals",1.0,explorer,
UNFCCC.non-party.1869.0,187c068c983adf7de459c398378f124f__f132eaf992faeb510b835d13c7fbfb9eaded08011b2e9f98dd2cba0322124431,FORESTS,FORESTS,forests,11,18,"Conserving forests from deforestation and degradation to conserve carbon stocks, biodiversity and resilient ecosystems (IPCC - Ch. 7 AFOLU, 2022)",1.0,explorer,
UNFCCC.non-party.1869.0,187c068c983adf7de459c398378f124f__f132eaf992faeb510b835d13c7fbfb9eaded08011b2e9f98dd2cba0322124431,DEFORESTATION,DEFORESTATION,deforestation,24,37,"Conserving forests from deforestation and degradation to conserve carbon stocks, biodiversity and resilient ecosystems (IPCC - Ch. 7 AFOLU, 2022)",1.0,explorer,
